rebuttal_type,neutral,pro_misinformation,difference,group
Negative Effect due to y,1.357948717948718,0.9271794871794872,0.4307692307692308,Fact Presentation
No Evidence,1.3553846153846154,1.208717948717949,0.1466666666666665,Evidence Presentation
Missing Mechanism 1,1.3082051282051284,0.9553846153846154,0.35282051282051297,Logical Refutation
No Need to Address,1.3056410256410256,0.8774358974358974,0.4282051282051281,Fact Presentation
Positive Effects of a Different Perspective from y 2,1.2794871794871794,0.8143589743589743,0.4651282051282051,Different Perspective Effects
Another True Cause,1.209230769230769,0.8707692307692307,0.33846153846153837,Logical Refutation
Positive Effects of a Different Perspective from y 1,1.1805128205128204,0.8343589743589743,0.34615384615384603,Different Perspective Effects
Mitigation,1.1594871794871795,0.9533333333333333,0.20615384615384624,Logical Refutation
Missing Mechanism 2,1.155897435897436,0.8476923076923076,0.30820512820512846,Logical Refutation
Alternative,1.0835897435897437,0.9794871794871794,0.10410256410256424,Alternative Explanation
